tree,sample,lat,lon,fenced,distance_from_edge,sample_type,plate,row,col,fwd_filepath,rev_filepath
NA,epi_blank_2,NA,NA,NA,NA,epiphyte,1,A,1,,
b1,end_b1,,,,,endophyte,1,B,1,,
a4,end_a4,,,,,endophyte,1,C,1,,
h5,end_h5,,,,,endophyte,1,D,1,,
j2,end_j2,,,,,endophyte,1,E,1,,
a25,end_a25,,,,,endophyte,1,F,1,,
j8,epi_j8,,,,,epiphyte,1,G,1,,
a7,epi_a7,,,,,epiphyte,1,H,1,,
d1,end_d1,,,,,endophyte,1,A,2,,
a29,end_a29,,,,,endophyte,1,B,2,,
d2,end_d2,,,,,endophyte,1,C,2,,
j10,end_j10,,,,,endophyte,1,D,2,,
h2,end_h2,,,,,endophyte,1,E,2,,
a17,end_a17,,,,,endophyte,1,F,2,,
a13,epi_a13,,,,,epiphyte,1,G,2,,
j9,epi_j9,,,,,epiphyte,1,H,2,,
f6,end_f6,,,,,endophyte,1,A,3,,
c4,end_c4,,,,,endophyte,1,B,3,,
j6,end_j6,,,,,endophyte,1,C,3,,
g5,end_g5,,,,,endophyte,1,D,3,,
j11,end_j11,,,,,endophyte,1,E,3,,
f2,end_f2,,,,,endophyte,1,F,3,,
a26,epi_a26,,,,,epiphyte,1,G,3,,
a5,epi_a5,,,,,epiphyte,1,H,3,,
a5,end_a5,,,,,endophyte,1,A,4,,
a1,end_a1,,,,,endophyte,1,B,4,,
j7,end_j7,,,,,endophyte,1,C,4,,
f3,end_f3,,,,,endophyte,1,D,4,,
h6,end_h6,,,,,endophyte,1,E,4,,
k5,end_k5,,,,,endophyte,1,F,4,,
c5,end_c5,,,,,endophyte,1,G,4,,
a6,epi_a6,,,,,epiphyte,1,H,4,,
k1,end_k1,,,,,endophyte,1,A,5,,
d4,end_d4,,,,,endophyte,1,B,5,,
a26,end_a26,,,,,endophyte,1,C,5,,
j4,end_j4,,,,,endophyte,1,D,5,,
b4,end_b4,,,,,endophyte,1,E,5,,
g1,end_g1,,,,,endophyte,1,F,5,,
e4,end_e4,,,,,endophyte,1,G,5,,
a19,epi_a19,,,,,epiphyte,1,H,5,,
f1,end_f1,,,,,endophyte,1,A,6,,
a7,end_a7,,,,,endophyte,1,B,6,,
a14,end_a14,,,,,endophyte,1,C,6,,
a23,end_a23,,,,,endophyte,1,D,6,,
g2,end_g2,,,,,endophyte,1,E,6,,
e3,epi_e3,,,,,epiphyte,1,F,6,,
f3,epi_f3,,,,,epiphyte,1,G,6,,
h3,epi_h3,,,,,epiphyte,1,H,6,,
a13,end_a13,,,,,endophyte,1,A,7,,
g4,end_g4,,,,,endophyte,1,B,7,,
i5,end_i5,,,,,endophyte,1,C,7,,
a3,end_a3,,,,,endophyte,1,D,7,,
c3,end_c3,,,,,endophyte,1,E,7,,
i3,epi_i3,,,,,epiphyte,1,F,7,,
j6,epi_j6,,,,,epiphyte,1,G,7,,
j7,epi_j7,,,,,epiphyte,1,H,7,,
a24,end_a24,,,,,endophyte,1,A,8,,
i4,end_i4,,,,,endophyte,1,B,8,,
b3,end_b3,,,,,endophyte,1,C,8,,
a21,end_a21,,,,,endophyte,1,D,8,,
a24,epi_a24,,,,,epiphyte,1,E,8,,
k2,end_k2,,,,,endophyte,1,F,8,,
h2,epi_h2,,,,,epiphyte,1,G,8,,
a29,epi_a29,,,,,epiphyte,1,H,8,,
e2,end_e2,,,,,endophyte,1,A,9,,
a27,end_a27,,,,,endophyte,1,B,9,,
a17,epi_a17,,,,,epiphyte,1,C,9,,
j10,epi_j10,,,,,epiphyte,1,D,9,,
j2,epi_j2,,,,,epiphyte,1,E,9,,
h5,epi_h5,,,,,epiphyte,1,F,9,,
a23,epi_a23,,,,,epiphyte,1,G,9,,
a11,epi_a11,,,,,epiphyte,1,H,9,,
g7,end_g7,,,,,endophyte,1,A,10,,
NA,epi_blank_1,NA,NA,NA,NA,epiphyte,1,B,10,,
h3,end_h3,,,,,endophyte,1,C,10,,
j4,epi_j4,,,,,epiphyte,1,D,10,,
a25,epi_a25,,,,,epiphyte,1,E,10,,
g4,epi_g4,,,,,epiphyte,1,F,10,,
d2,epi_d2,,,,,epiphyte,1,G,10,,
g1,epi_g1,,,,,epiphyte,1,H,10,,
i1,end_i1,,,,,endophyte,1,A,11,,
g5,epi_g5,,,,,epiphyte,1,B,11,,
k5,epi_k5,,,,,epiphyte,1,C,11,,
a4,epi_a4,,,,,epiphyte,1,D,11,,
i5,epi_i5,,,,,epiphyte,1,E,11,,
a18,epi_a18,,,,,epiphyte,1,F,11,,
e2,epi_e2,,,,,epiphyte,1,G,11,,
a8,epi_a8,,,,,epiphyte,1,H,11,,
i2,end_i2,,,,,endophyte,1,A,12,,
c3,epi_c3,,,,,epiphyte,1,B,12,,
i1,epi_i1,,,,,epiphyte,1,C,12,,
j11,epi_j11,,,,,epiphyte,1,D,12,,
k3,epi_k3,,,,,epiphyte,1,E,12,,
NA,NA,NA,NA,NA,NA,NA,1,F,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,G,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,H,12,NA,NA
i2,epi_i2,,,,,epiphyte,2,A,1,,
a2,epi_a2,,,,,epiphyte,2,B,1,,
d5,epi_d5,,,,,epiphyte,2,C,1,,
a9,epi_a9,,,,,epiphyte,2,D,1,,
g2,epi_g2,,,,,epiphyte,2,E,1,,
f1,epi_f1,,,,,epiphyte,2,F,1,,
f2,epi_f2,,,,,epiphyte,2,G,1,,
b5,epi_b5,,,,,epiphyte,2,H,1,,
c6,epi_c6,,,,,epiphyte,2,A,2,,
g3,epi_g3,,,,,epiphyte,2,B,2,,
d4,epi_d4,,,,,epiphyte,2,C,2,,
e1,epi_e1,,,,,epiphyte,2,D,2,,
k4,epi_k4,,,,,epiphyte,2,E,2,,
a22,epi_a22,,,,,epiphyte,2,F,2,,
j5,epi_j5,,,,,epiphyte,2,G,2,,
e4,epi_e4,,,,,epiphyte,2,H,2,,
a21,epi_a21,,,,,epiphyte,2,A,3,,
d1,epi_d1,,,,,epiphyte,2,B,3,,
c2,epi_c2,,,,,epiphyte,2,C,3,,
b3,epi_b3,,,,,epiphyte,2,D,3,,
a14,epi_a14,,,,,epiphyte,2,E,3,,
c1,epi_c1,,,,,epiphyte,2,F,3,,
g6,epi_g6,,,,,epiphyte,2,G,3,,
e6,epi_e6,,,,,epiphyte,2,H,3,,
a12,epi_a12,,,,,epiphyte,2,A,4,,
a12,end_a12,,,,,endophyte,2,B,4,,
a10,epi_a10,,,,,epiphyte,2,C,4,,
a15,epi_a15,,,,,epiphyte,2,D,4,,
b4,epi_b4,,,,,epiphyte,2,E,4,,
a16,epi_a16,,,,,epiphyte,2,F,4,,
d6,epi_d6,,,,,epiphyte,2,G,4,,
a1,epi_a1,,,,,epiphyte,2,H,4,,
c4,epi_c4,,,,,epiphyte,2,A,5,,
f5,epi_f5,,,,,epiphyte,2,B,5,,
b1,epi_b1,,,,,epiphyte,2,C,5,,
e5,end_e5,,,,,endophyte,2,D,5,,
f6,epi_f6,,,,,epiphyte,2,E,5,,
f4,end_f4,,,,,endophyte,2,F,5,,
j8,end_j8,,,,,endophyte,2,G,5,,
b2,end_b2,,,,,endophyte,2,H,5,,
k2,epi_k2,,,,,epiphyte,2,A,6,,
a10,end_a10,,,,,endophyte,2,B,6,,
b2,epi_b2,,,,,epiphyte,2,C,6,,
a2,end_a2,,,,,endophyte,2,D,6,,
a22,end_a22,,,,,endophyte,2,E,6,,
a6,end_a6,,,,,endophyte,2,F,6,,
a27,end_a27,,,,,endophyte,2,G,6,,
g6,end_g6,,,,,endophyte,2,H,6,,
e3,end_e3,,,,,endophyte,2,A,7,,
k4,end_k4,,,,,endophyte,2,B,7,,
a19,end_a19,,,,,endophyte,2,C,7,,
e1,end_e1,,,,,endophyte,2,D,7,,
c2,end_c2,,,,,endophyte,2,E,7,,
b6,end_b6,,,,,endophyte,2,F,7,,
a8,end_a8,,,,,endophyte,2,G,7,,
NA,end_blank_2,NA,NA,NA,NA,endophyte,2,H,7,,
i3,end_i3,,,,,endophyte,2,A,8,,
k3,end_k3,,,,,endophyte,2,B,8,,
a15,end_a15,,,,,endophyte,2,C,8,,
c6,end_c6,,,,,endophyte,2,D,8,,
e6,end_e6,,,,,endophyte,2,E,8,,
NA,end_blank_1,NA,NA,NA,NA,endophyte,2,F,8,,
a16,end_a16,,,,,endophyte,2,G,8,,
g3,end_g3,,,,,endophyte,2,H,8,,
a18,end_a18,,,,,endophyte,2,A,9,,
d6,end_d6,,,,,endophyte,2,B,9,,
j9,end_j9,,,,,endophyte,2,C,9,,
d5,end_d5,,,,,endophyte,2,D,9,,
j1,end_j1,,,,,endophyte,2,E,9,,
j5,end_j5,,,,,endophyte,2,F,9,,
f5,end_f5,,,,,endophyte,2,G,9,,
a11,end_a11,,,,,endophyte,2,H,9,,
b5,end_b5,,,,,endophyte,2,A,10,,
c1,end_c1,,,,,endophyte,2,B,10,,
h4,end_h4,,,,,endophyte,2,C,10,,
k1,epi_k1,,,,,epiphyte,2,D,10,,
h6,epi_h6,,,,,epiphyte,2,E,10,,
f4,epi_f4,,,,,epiphyte,2,F,10,,
c5,epi_c5,,,,,epiphyte,2,G,10,,
a28,epi_a28,,,,,epiphyte,2,H,10,,
j1,epi_j1,,,,,epiphyte,2,A,11,,
e5,epi_e5,,,,,epiphyte,2,B,11,,
h4,epi_h4,,,,,epiphyte,2,C,11,,
